symptom,,,,,
itching,,,,,
small_dents_in_nails,Psoriasis,,,,
inflammatory_nails,Psoriasis,,,,
itchy_skin,Chronic Kidney Disease,,,,
insomnia,Chronic Kidney Disease,,,,
swollen_ankles,Chronic Kidney Disease,,,,
erectile_dysfunction,Chronic Kidney Disease,,,,
muscle_cramps,Chronic Kidney Disease,,,,
stiffness,Autoimmune Diseases,,,,
muscle_aches,Autoimmune Diseases,,,,
skin_change,Autoimmune Diseases,,,,
fever,Autoimmune Diseases,,,,
shortness_of_breath,Autoimmune Diseases,,,,
vision_impairment,Stroke,,,,
numbness,Stroke,,,,
confusion,Stroke,,,,
memory_loss,Stroke,,,,
trouble_walking,Stroke,,,,
trouble_speaking ,Stroke,,,,
feeling_dizzy,Stroke,,,,
falling_over,Stroke,,,,
facial_paralysis,Stroke,,,,
arm_paralysis,Stroke,,,,
leg_paralysis,Stroke,,,,
angina,Coronary Artery Disease,,,,
pain_in_your_neck,Coronary Artery Disease,,,,
pain_in_your_shoulders,Coronary Artery Disease,,,,
pain_in_your_arms,Coronary Artery Disease,,,,
cold_sweat,Coronary Artery Disease,,,,
tummy_pain,Inflammatory Bowel Disease (IBD),,,,
blood_in_stool,Inflammatory Bowel Disease (IBD),,,,
mucus_in_stool,Inflammatory Bowel Disease (IBD),,,,
extreme_tiredness,Inflammatory Bowel Disease (IBD),,,,
stiff_neck,Migraine,,,,
dizziness,Migraine,,,,
indigestion,Migraine,,,,
blurred_and_distorted_vision,Migraine,,,,
